caseNum,date,confidence,species,age,pathogen,numFish,fish,numPositive,prevalence,comments,location,latitude,longitude
C87-001,9/24/07,High,CHIN,adult,IHN,30,TRUE,27,0.9,SCS,"Trinity River, California",41.184532,-123.706795
C87-002,10/2/07,High,CHIN,adult,IHN,30,TRUE,20,0.666666667,SCS,"Trinity River, California",41.184532,-123.706795
C87-003,10/9/07,High,CHIN,adult,IHN,30,TRUE,26,0.866666667,SCS,"Trinity River, California",41.184532,-123.706795
C87-004,10/16/07,High,CHIN,adult,IHN,10,TRUE,10,1,FCS,"Trinity River, California",41.184532,-123.706795
C87-005A,10/15/07,High,KOK,adult,,60,TRUE,0,0,,"Taylor Creek, California",38.93420029,-120.0561676
C87-005B,10/15/08,High,KOK,adult,,28,TRUE,0,0,,"Taylor Creek, California",38.93420029,-120.0561676
C87-006,10/22/07,High,CHIN,adult,IHN,29,TRUE,25,0.862068966,,"Trinity River, California",41.184532,-123.706795
C87-007A,10/26/07,High,KOK,adult,,60,TRUE,0,0,,"Taylor Creek, California",38.93420029,-120.0561676
C87-007B,10/26/07,High,KOK,adult,,30,TRUE,0,0,,"Taylor Creek, California",38.93420029,-120.0561676
C87-008,10/22/07,High,NR,adult,,1,TRUE,0,0,,"Hoopa Fisheries, California",37.25510025,-119.6175232
C87-009,10/26/07,High,NR,adult,,2,TRUE,0,0,,"Hoopa Fisheries, California",37.25510025,-119.6175232
C87-010A,10/23/07,High,CHIN,adult,,1,TRUE,0,0,,"Trinity River, California",41.184532,-123.706795
C87-010B,10/23/07,High,CHIN,adult,,1,TRUE,0,0,,"Trinity River, California",41.184532,-123.706795
C87-011,10/29/07,High,CHIN,adult,IHN,30,TRUE,29,0.966666667,,"Trinity River, California",41.184532,-123.706795
C87-012A,10/29/07,High,CHIN,adult,IHN,1,TRUE,1,1,,"Trinity River, California",41.184532,-123.706795
C87-012B,10/29/07,High,COHO,adult,IHN,1,TRUE,1,1,,"Trinity River, California",41.184532,-123.706795
C87-013,10/29/07,High,CHIN,adult,,3,TRUE,0,0,,"Trinity River, California",41.184532,-123.706795
C87-014,10/29/07,High,KOK,adult,,9,TRUE,0,0,,"Trinity River, California",41.184532,-123.706795
C87-015,10/30/07,High,NR,adult,,1,TRUE,0,0,,"Hoopa Fisheries, California",37.25510025,-119.6175232
